PostDate,JobFamily,CountIdIndexed
05-03-2020,Product Management,1.065
05-03-2020,Retail Staff,1.0557
05-03-2020,Sales,1.0261
05-03-2020,Security,1.0728
05-03-2020,Skilled Trades,1.0495
05-03-2020,Supply Chain Staff,1.1277
05-03-2020,Unassigned,1.0582
06-03-2020,Customer Service,1.0906
06-03-2020,Entertainment and Recreation,1.0858
06-03-2020,Facilities/Constr,1.0869
06-03-2020,Finance/Insurance,1.0385
06-03-2020,Food & Beverage,1.0776
06-03-2020,Healthcare,1.0764
06-03-2020,Hospitality Staff,1.1143
06-03-2020,Human Resources,1.0119
06-03-2020,IT,1.1009
06-03-2020,Manufacturing/Operations Staff,1.0902
06-03-2020,Marketing/Advertising,1.0533
06-03-2020,Product Management,1.067
06-03-2020,Retail Staff,1.0717
06-03-2020,Sales,1.0586
06-03-2020,Security,1.1041
06-03-2020,Skilled Trades,1.0619
06-03-2020,Supply Chain Staff,1.1522
06-03-2020,Unassigned,1.0716
07-03-2020,Customer Service,1.1025
07-03-2020,Entertainment and Recreation,1.084
07-03-2020,Facilities/Constr,1.0995
07-03-2020,Finance/Insurance,1.0637
07-03-2020,Food & Beverage,1.0852
07-03-2020,Healthcare,1.1011
07-03-2020,Hospitality Staff,1.1257
07-03-2020,Human Resources,1.0114
07-03-2020,IT,1.1456
07-03-2020,Manufacturing/Operations Staff,1.1075
07-03-2020,Marketing/Advertising,1.0693
07-03-2020,Product Management,1.0876
07-03-2020,Retail Staff,1.1104
07-03-2020,Sales,1.0655
07-03-2020,Security,1.1196
07-03-2020,Skilled Trades,1.0692
07-03-2020,Supply Chain Staff,1.2121
07-03-2020,Unassigned,1.0957
08-03-2020,Customer Service,1.077
08-03-2020,Entertainment and Recreation,1.0671
08-03-2020,Facilities/Constr,1.0898
08-03-2020,Finance/Insurance,1.0503
08-03-2020,Food & Beverage,1.0665
08-03-2020,Healthcare,1.0852
08-03-2020,Hospitality Staff,1.115
08-03-2020,Human Resources,0.9975
08-03-2020,IT,1.1243
08-03-2020,Manufacturing/Operations Staff,1.0875
08-03-2020,Marketing/Advertising,1.0596
08-03-2020,Product Management,1.0698
08-03-2020,Retail Staff,1.0943
08-03-2020,Sales,1.0492
08-03-2020,Security,1.1039
08-03-2020,Skilled Trades,1.0512
08-03-2020,Supply Chain Staff,1.1444
08-03-2020,Unassigned,1.083
09-03-2020,Customer Service,1.0655
09-03-2020,Entertainment and Recreation,1.0711
09-03-2020,Facilities/Constr,1.1152
09-03-2020,Finance/Insurance,1.058
09-03-2020,Food & Beverage,1.0576
09-03-2020,Healthcare,1.1162
09-03-2020,Hospitality Staff,1.1289
09-03-2020,Human Resources,1.0122
09-03-2020,IT,1.1366
09-03-2020,Manufacturing/Operations Staff,1.1094
09-03-2020,Marketing/Advertising,1.0637
09-03-2020,Product Management,1.0875
09-03-2020,Retail Staff,1.0871
09-03-2020,Sales,1.0496
09-03-2020,Security,1.1103
09-03-2020,Skilled Trades,1.0668
09-03-2020,Supply Chain Staff,1.1477
09-03-2020,Unassigned,1.0949
10-03-2020,Customer Service,1.0674
10-03-2020,Entertainment and Recreation,1.0785
10-03-2020,Facilities/Constr,1.1244
10-03-2020,Finance/Insurance,1.0618
10-03-2020,Food & Beverage,1.06
10-03-2020,Healthcare,1.1223
10-03-2020,Hospitality Staff,1.1296
10-03-2020,Human Resources,1.0257
10-03-2020,IT,1.1366
10-03-2020,Manufacturing/Operations Staff,1.1045
10-03-2020,Marketing/Advertising,1.0775
10-03-2020,Product Management,1.0892
10-03-2020,Retail Staff,1.0941
10-03-2020,Sales,1.0577
10-03-2020,Security,1.1148
10-03-2020,Skilled Trades,1.062
10-03-2020,Supply Chain Staff,1.1479
10-03-2020,Unassigned,1.0979
11-03-2020,Customer Service,1.0586
11-03-2020,Entertainment and Recreation,1.0611
11-03-2020,Facilities/Constr,1.1117
11-03-2020,Finance/Insurance,1.0549
11-03-2020,Food & Beverage,1.0459
11-03-2020,Healthcare,1.1145
11-03-2020,Hospitality Staff,1.1144
11-03-2020,Human Resources,1.0248
11-03-2020,IT,1.132
11-03-2020,Manufacturing/Operations Staff,1.0992
11-03-2020,Marketing/Advertising,1.0708
11-03-2020,Product Management,1.0833
11-03-2020,Retail Staff,1.0941
11-03-2020,Sales,1.0451
11-03-2020,Security,1.1071
11-03-2020,Skilled Trades,1.0506
11-03-2020,Supply Chain Staff,1.1279
11-03-2020,Unassigned,1.0912
12-03-2020,Customer Service,1.0382
12-03-2020,Entertainment and Recreation,1.0284
12-03-2020,Facilities/Constr,1.109
12-03-2020,Finance/Insurance,1.0362
12-03-2020,Food & Beverage,1.0207
12-03-2020,Healthcare,1.091
12-03-2020,Hospitality Staff,1.0941
12-03-2020,Human Resources,1.0471
12-03-2020,IT,1.1131
12-03-2020,Manufacturing/Operations Staff,1.0849
12-03-2020,Marketing/Advertising,1.0576
12-03-2020,Product Management,1.083
12-03-2020,Retail Staff,1.0824
12-03-2020,Sales,1.032
12-03-2020,Security,1.0832
12-03-2020,Skilled Trades,1.0396
12-03-2020,Supply Chain Staff,1.1187
12-03-2020,Unassigned,1.0747
13-03-2020,Customer Service,1.0087
13-03-2020,Entertainment and Recreation,0.972
13-03-2020,Facilities/Constr,1.0776
13-03-2020,Finance/Insurance,0.9985
13-03-2020,Food & Beverage,0.9743
13-03-2020,Healthcare,1.0555
13-03-2020,Hospitality Staff,1.0377
13-03-2020,Human Resources,1.044
13-03-2020,IT,1.0784
13-03-2020,Manufacturing/Operations Staff,1.0564
13-03-2020,Marketing/Advertising,1.0124
13-03-2020,Product Management,1.0579
13-03-2020,Retail Staff,1.0519
13-03-2020,Sales,0.9859
13-03-2020,Security,1.0546
13-03-2020,Skilled Trades,1.0136
13-03-2020,Supply Chain Staff,1.0893
13-03-2020,Unassigned,1.0385
14-03-2020,Customer Service,0.9685
14-03-2020,Entertainment and Recreation,0.9233
14-03-2020,Facilities/Constr,1.0328
14-03-2020,Finance/Insurance,0.9447
14-03-2020,Food & Beverage,0.9255
14-03-2020,Healthcare,0.9948
14-03-2020,Hospitality Staff,0.9808
14-03-2020,Human Resources,1.0063
14-03-2020,IT,1.0028
14-03-2020,Manufacturing/Operations Staff,1.0143
14-03-2020,Marketing/Advertising,0.9667
14-03-2020,Product Management,1.0234
14-03-2020,Retail Staff,0.9833
14-03-2020,Sales,0.9485
14-03-2020,Security,1.0154
14-03-2020,Skilled Trades,0.972
14-03-2020,Supply Chain Staff,1.0289
14-03-2020,Unassigned,0.9943
15-03-2020,Customer Service,0.9738
15-03-2020,Entertainment and Recreation,0.907
15-03-2020,Facilities/Constr,1.0412
15-03-2020,Finance/Insurance,0.94
15-03-2020,Food & Beverage,0.9031
15-03-2020,Healthcare,0.9943
15-03-2020,Hospitality Staff,0.9641
15-03-2020,Human Resources,1.0013
15-03-2020,IT,0.9978
15-03-2020,Manufacturing/Operations Staff,1.0153
15-03-2020,Marketing/Advertising,0.962
15-03-2020,Product Management,1.0226
15-03-2020,Retail Staff,0.9734
15-03-2020,Sales,0.9459
15-03-2020,Security,1.0107
15-03-2020,Skilled Trades,0.9671
15-03-2020,Supply Chain Staff,1.0156
15-03-2020,Unassigned,0.9915
16-03-2020,Customer Service,0.9278
16-03-2020,Entertainment and Recreation,0.8306
16-03-2020,Facilities/Constr,0.9865
16-03-2020,Finance/Insurance,0.8885
16-03-2020,Food & Beverage,0.8405
16-03-2020,Healthcare,0.9417
16-03-2020,Hospitality Staff,0.9004
16-03-2020,Human Resources,0.9676
16-03-2020,IT,0.931
16-03-2020,Manufacturing/Operations Staff,0.9639
16-03-2020,Marketing/Advertising,0.9177
16-03-2020,Product Management,0.9881
16-03-2020,Retail Staff,0.9216
16-03-2020,Sales,0.8991
16-03-2020,Security,0.9755
16-03-2020,Skilled Trades,0.9305
16-03-2020,Supply Chain Staff,0.9583
16-03-2020,Unassigned,0.9498
17-03-2020,Customer Service,0.8363
17-03-2020,Entertainment and Recreation,0.7276
17-03-2020,Facilities/Constr,0.9145
17-03-2020,Finance/Insurance,0.8134
17-03-2020,Food & Beverage,0.7323
17-03-2020,Healthcare,0.8801
17-03-2020,Hospitality Staff,0.798
17-03-2020,Human Resources,0.8926
17-03-2020,IT,0.8583
17-03-2020,Manufacturing/Operations Staff,0.9165
17-03-2020,Marketing/Advertising,0.8318
17-03-2020,Product Management,0.9171
17-03-2020,Retail Staff,0.8321
17-03-2020,Sales,0.8223
17-03-2020,Security,0.9207
17-03-2020,Skilled Trades,0.8726
17-03-2020,Supply Chain Staff,0.9017
17-03-2020,Unassigned,0.8803
18-03-2020,Customer Service,0.7685
18-03-2020,Entertainment and Recreation,0.6481
18-03-2020,Facilities/Constr,0.8781
18-03-2020,Finance/Insurance,0.7488
18-03-2020,Food & Beverage,0.6488
18-03-2020,Healthcare,0.8295
18-03-2020,Hospitality Staff,0.7283
18-03-2020,Human Resources,0.8175
18-03-2020,IT,0.7826
18-03-2020,Manufacturing/Operations Staff,0.8692
18-03-2020,Marketing/Advertising,0.774
18-03-2020,Product Management,0.8633
18-03-2020,Retail Staff,0.7659
18-03-2020,Sales,0.7643
18-03-2020,Security,0.867
18-03-2020,Skilled Trades,0.8353
18-03-2020,Supply Chain Staff,0.8897
18-03-2020,Unassigned,0.8288
19-03-2020,Customer Service,0.7101
19-03-2020,Entertainment and Recreation,0.5815
19-03-2020,Facilities/Constr,0.8264
19-03-2020,Finance/Insurance,0.688
19-03-2020,Food & Beverage,0.5902
19-03-2020,Healthcare,0.772
19-03-2020,Hospitality Staff,0.6616
19-03-2020,Human Resources,0.7398
19-03-2020,IT,0.71
19-03-2020,Manufacturing/Operations Staff,0.8255
19-03-2020,Marketing/Advertising,0.7142
19-03-2020,Product Management,0.8032
19-03-2020,Retail Staff,0.7019
19-03-2020,Sales,0.6997
19-03-2020,Security,0.8134
19-03-2020,Skilled Trades,0.778
19-03-2020,Supply Chain Staff,0.8496
19-03-2020,Unassigned,0.7819
20-03-2020,Customer Service,0.6559
20-03-2020,Entertainment and Recreation,0.535
20-03-2020,Facilities/Constr,0.7671
20-03-2020,Finance/Insurance,0.6352
20-03-2020,Food & Beverage,0.5242
20-03-2020,Healthcare,0.7562
20-03-2020,Hospitality Staff,0.598
20-03-2020,Human Resources,0.686
20-03-2020,IT,0.659
20-03-2020,Manufacturing/Operations Staff,0.7916
20-03-2020,Marketing/Advertising,0.6517
20-03-2020,Product Management,0.7383
20-03-2020,Retail Staff,0.6519
20-03-2020,Sales,0.6485
20-03-2020,Security,0.755
20-03-2020,Skilled Trades,0.7423
20-03-2020,Supply Chain Staff,0.8148
20-03-2020,Unassigned,0.7429
21-03-2020,Customer Service,0.6247
21-03-2020,Entertainment and Recreation,0.4965
21-03-2020,Facilities/Constr,0.7342
21-03-2020,Finance/Insurance,0.61
21-03-2020,Food & Beverage,0.4792
21-03-2020,Healthcare,0.7351
21-03-2020,Hospitality Staff,0.5585
21-03-2020,Human Resources,0.6539
21-03-2020,IT,0.6347
21-03-2020,Manufacturing/Operations Staff,0.7666
21-03-2020,Marketing/Advertising,0.618
21-03-2020,Product Management,0.7087
21-03-2020,Retail Staff,0.6227
21-03-2020,Sales,0.6225
21-03-2020,Security,0.7238
21-03-2020,Skilled Trades,0.7206
21-03-2020,Supply Chain Staff,0.7816
21-03-2020,Unassigned,0.7149
22-03-2020,Customer Service,0.6089
22-03-2020,Entertainment and Recreation,0.4812
22-03-2020,Facilities/Constr,0.7097
22-03-2020,Finance/Insurance,0.6025
22-03-2020,Food & Beverage,0.4585
22-03-2020,Healthcare,0.7244
22-03-2020,Hospitality Staff,0.5467
22-03-2020,Human Resources,0.6462
22-03-2020,IT,0.6223
22-03-2020,Manufacturing/Operations Staff,0.7551
22-03-2020,Marketing/Advertising,0.6083
22-03-2020,Product Management,0.7044
22-03-2020,Retail Staff,0.6132
22-03-2020,Sales,0.6117
22-03-2020,Security,0.7159
22-03-2020,Skilled Trades,0.7102
22-03-2020,Supply Chain Staff,0.7678
22-03-2020,Unassigned,0.6994
23-03-2020,Customer Service,0.5813
23-03-2020,Entertainment and Recreation,0.4613
23-03-2020,Facilities/Constr,0.6788
23-03-2020,Finance/Insurance,0.573
23-03-2020,Food & Beverage,0.434
23-03-2020,Healthcare,0.7206
23-03-2020,Hospitality Staff,0.5129
23-03-2020,Human Resources,0.6219
23-03-2020,IT,0.6041
23-03-2020,Manufacturing/Operations Staff,0.7398
23-03-2020,Marketing/Advertising,0.5707
23-03-2020,Product Management,0.6595
23-03-2020,Retail Staff,0.5965
23-03-2020,Sales,0.5765
23-03-2020,Security,0.6902
23-03-2020,Skilled Trades,0.686
23-03-2020,Supply Chain Staff,0.759
23-03-2020,Unassigned,0.6737
24-03-2020,Customer Service,0.5247
24-03-2020,Entertainment and Recreation,0.4323
24-03-2020,Facilities/Constr,0.629
24-03-2020,Finance/Insurance,0.5417
24-03-2020,Food & Beverage,0.3901
24-03-2020,Healthcare,0.7064
24-03-2020,Hospitality Staff,0.4616
24-03-2020,Human Resources,0.5742
24-03-2020,IT,0.5854
24-03-2020,Manufacturing/Operations Staff,0.7186
24-03-2020,Marketing/Advertising,0.5229
24-03-2020,Product Management,0.6074
24-03-2020,Retail Staff,0.5408
24-03-2020,Sales,0.5474
24-03-2020,Security,0.667
24-03-2020,Skilled Trades,0.6557
24-03-2020,Supply Chain Staff,0.705
24-03-2020,Unassigned,0.6544
25-03-2020,Customer Service,0.4655
25-03-2020,Entertainment and Recreation,0.3833
25-03-2020,Facilities/Constr,0.5513
25-03-2020,Finance/Insurance,0.4938
25-03-2020,Food & Beverage,0.3395
25-03-2020,Healthcare,0.6624
25-03-2020,Hospitality Staff,0.4017
25-03-2020,Human Resources,0.541
25-03-2020,IT,0.5447
25-03-2020,Manufacturing/Operations Staff,0.6584
25-03-2020,Marketing/Advertising,0.4557
25-03-2020,Product Management,0.542
25-03-2020,Retail Staff,0.4789
25-03-2020,Sales,0.4845
25-03-2020,Security,0.6394
25-03-2020,Skilled Trades,0.5871
25-03-2020,Supply Chain Staff,0.6111
25-03-2020,Unassigned,0.5939
26-03-2020,Customer Service,0.4377
26-03-2020,Entertainment and Recreation,0.3566
26-03-2020,Facilities/Constr,0.5023
26-03-2020,Finance/Insurance,0.4701
26-03-2020,Food & Beverage,0.3056
26-03-2020,Healthcare,0.6593
26-03-2020,Hospitality Staff,0.3837
26-03-2020,Human Resources,0.5359
26-03-2020,IT,0.5281
26-03-2020,Manufacturing/Operations Staff,0.629
26-03-2020,Marketing/Advertising,0.4203
26-03-2020,Product Management,0.5163
26-03-2020,Retail Staff,0.4603
26-03-2020,Sales,0.4512
26-03-2020,Security,0.626
26-03-2020,Skilled Trades,0.5633
26-03-2020,Supply Chain Staff,0.5679
26-03-2020,Unassigned,0.5648
27-03-2020,Customer Service,0.379
27-03-2020,Entertainment and Recreation,0.3099
27-03-2020,Facilities/Constr,0.4564
27-03-2020,Finance/Insurance,0.4244
27-03-2020,Food & Beverage,0.2755
27-03-2020,Healthcare,0.5868
27-03-2020,Hospitality Staff,0.3484
27-03-2020,Human Resources,0.4681
27-03-2020,IT,0.4734
27-03-2020,Manufacturing/Operations Staff,0.564
27-03-2020,Marketing/Advertising,0.3751
27-03-2020,Product Management,0.4859
27-03-2020,Retail Staff,0.4021
27-03-2020,Sales,0.4013
27-03-2020,Security,0.5665
27-03-2020,Skilled Trades,0.5004
27-03-2020,Supply Chain Staff,0.4991
27-03-2020,Unassigned,0.5058
28-03-2020,Customer Service,0.3963
28-03-2020,Entertainment and Recreation,0.3212
28-03-2020,Facilities/Constr,0.475
28-03-2020,Finance/Insurance,0.4368
28-03-2020,Food & Beverage,0.288
28-03-2020,Healthcare,0.6013
28-03-2020,Hospitality Staff,0.3699
28-03-2020,Human Resources,0.4837
28-03-2020,IT,0.4886
28-03-2020,Manufacturing/Operations Staff,0.5932
28-03-2020,Marketing/Advertising,0.387
28-03-2020,Product Management,0.4965
28-03-2020,Retail Staff,0.4215
28-03-2020,Sales,0.4248
28-03-2020,Security,0.6054
28-03-2020,Skilled Trades,0.5269
28-03-2020,Supply Chain Staff,0.5157
28-03-2020,Unassigned,0.5094
29-03-2020,Customer Service,0.4042
29-03-2020,Entertainment and Recreation,0.3463
29-03-2020,Facilities/Constr,0.4948
29-03-2020,Finance/Insurance,0.4591
29-03-2020,Food & Beverage,0.2991
29-03-2020,Healthcare,0.6193
29-03-2020,Hospitality Staff,0.389
29-03-2020,Human Resources,0.4887
29-03-2020,IT,0.5387
29-03-2020,Manufacturing/Operations Staff,0.658
29-03-2020,Marketing/Advertising,0.4018
29-03-2020,Product Management,0.5404
29-03-2020,Retail Staff,0.4297
29-03-2020,Sales,0.4678
29-03-2020,Security,0.6335
29-03-2020,Skilled Trades,0.5512
29-03-2020,Supply Chain Staff,0.5406
29-03-2020,Unassigned,0.5325
30-03-2020,Customer Service,0.4009
30-03-2020,Entertainment and Recreation,0.3425
30-03-2020,Facilities/Constr,0.4948
30-03-2020,Finance/Insurance,0.4586
30-03-2020,Food & Beverage,0.3038
30-03-2020,Healthcare,0.6028
30-03-2020,Hospitality Staff,0.3881
30-03-2020,Human Resources,0.4924
30-03-2020,IT,0.5329
30-03-2020,Manufacturing/Operations Staff,0.6564
30-03-2020,Marketing/Advertising,0.4096
30-03-2020,Product Management,0.5406
30-03-2020,Retail Staff,0.4247
30-03-2020,Sales,0.4654
30-03-2020,Security,0.644
30-03-2020,Skilled Trades,0.5434
30-03-2020,Supply Chain Staff,0.5044
30-03-2020,Unassigned,0.5283
31-03-2020,Customer Service,0.4204
31-03-2020,Entertainment and Recreation,0.3458
31-03-2020,Facilities/Constr,0.4729
31-03-2020,Finance/Insurance,0.4649
31-03-2020,Food & Beverage,0.3184
31-03-2020,Healthcare,0.5593
31-03-2020,Hospitality Staff,0.3714
31-03-2020,Human Resources,0.5073
31-03-2020,IT,0.5092
31-03-2020,Manufacturing/Operations Staff,0.6603
31-03-2020,Marketing/Advertising,0.4224
31-03-2020,Product Management,0.584
31-03-2020,Retail Staff,0.4418
31-03-2020,Sales,0.4552
31-03-2020,Security,0.6238
31-03-2020,Skilled Trades,0.5215
31-03-2020,Supply Chain Staff,0.487
31-03-2020,Unassigned,0.5566
01-04-2020,Customer Service,0.4216
01-04-2020,Entertainment and Recreation,0.3353
01-04-2020,Facilities/Constr,0.4484
01-04-2020,Finance/Insurance,0.457
01-04-2020,Food & Beverage,0.3186
01-04-2020,Healthcare,0.5271
01-04-2020,Hospitality Staff,0.3497
01-04-2020,Human Resources,0.4834
01-04-2020,IT,0.4675
01-04-2020,Manufacturing/Operations Staff,0.631
01-04-2020,Marketing/Advertising,0.4169
01-04-2020,Product Management,0.5746
01-04-2020,Retail Staff,0.4362
01-04-2020,Sales,0.4402
01-04-2020,Security,0.5954
01-04-2020,Skilled Trades,0.501
01-04-2020,Supply Chain Staff,0.4927
01-04-2020,Unassigned,0.6083
02-04-2020,Customer Service,0.396
02-04-2020,Entertainment and Recreation,0.3098
02-04-2020,Facilities/Constr,0.4052
02-04-2020,Finance/Insurance,0.433
02-04-2020,Food & Beverage,0.3022
02-04-2020,Healthcare,0.4785
02-04-2020,Hospitality Staff,0.2985
02-04-2020,Human Resources,0.4416
02-04-2020,IT,0.4058
02-04-2020,Manufacturing/Operations Staff,0.5818
02-04-2020,Marketing/Advertising,0.3932
02-04-2020,Product Management,0.5335
02-04-2020,Retail Staff,0.4001
02-04-2020,Sales,0.407
02-04-2020,Security,0.5604
02-04-2020,Skilled Trades,0.4675
02-04-2020,Supply Chain Staff,0.4631
02-04-2020,Unassigned,0.6167
03-04-2020,Customer Service,0.4182
03-04-2020,Entertainment and Recreation,0.3074
03-04-2020,Facilities/Constr,0.3915
03-04-2020,Finance/Insurance,0.4456
03-04-2020,Food & Beverage,0.3108
03-04-2020,Healthcare,0.451
03-04-2020,Hospitality Staff,0.2763
03-04-2020,Human Resources,0.4494
03-04-2020,IT,0.3811
03-04-2020,Manufacturing/Operations Staff,0.5665
03-04-2020,Marketing/Advertising,0.4011
03-04-2020,Product Management,0.538
03-04-2020,Retail Staff,0.4182
03-04-2020,Sales,0.4088
03-04-2020,Security,0.5594
03-04-2020,Skilled Trades,0.4719
03-04-2020,Supply Chain Staff,0.476
03-04-2020,Unassigned,0.6621
04-04-2020,Customer Service,0.3802
04-04-2020,Entertainment and Recreation,0.2841
04-04-2020,Facilities/Constr,0.3525
04-04-2020,Finance/Insurance,0.418
04-04-2020,Food & Beverage,0.291
04-04-2020,Healthcare,0.4147
04-04-2020,Hospitality Staff,0.2265
04-04-2020,Human Resources,0.3994
04-04-2020,IT,0.3295
04-04-2020,Manufacturing/Operations Staff,0.5094
04-04-2020,Marketing/Advertising,0.3717
04-04-2020,Product Management,0.5095
04-04-2020,Retail Staff,0.3691
04-04-2020,Sales,0.3661
04-04-2020,Security,0.5012
04-04-2020,Skilled Trades,0.4238
04-04-2020,Supply Chain Staff,0.4231
04-04-2020,Unassigned,0.6531
05-04-2020,Customer Service,0.3663
05-04-2020,Entertainment and Recreation,0.2536
05-04-2020,Facilities/Constr,0.3281
05-04-2020,Finance/Insurance,0.3906
05-04-2020,Food & Beverage,0.2739
05-04-2020,Healthcare,0.3874
05-04-2020,Hospitality Staff,0.199
05-04-2020,Human Resources,0.3787
05-04-2020,IT,0.2687
05-04-2020,Manufacturing/Operations Staff,0.4377
05-04-2020,Marketing/Advertising,0.3503
05-04-2020,Product Management,0.4679
05-04-2020,Retail Staff,0.3493
05-04-2020,Sales,0.3211
05-04-2020,Security,0.4685
05-04-2020,Skilled Trades,0.3964
05-04-2020,Supply Chain Staff,0.39
05-04-2020,Unassigned,0.6296
06-04-2020,Customer Service,0.3568
06-04-2020,Entertainment and Recreation,0.2407
06-04-2020,Facilities/Constr,0.3029
06-04-2020,Finance/Insurance,0.386
06-04-2020,Food & Beverage,0.2656
06-04-2020,Healthcare,0.3694
06-04-2020,Hospitality Staff,0.1754
06-04-2020,Human Resources,0.3574
06-04-2020,IT,0.2261
06-04-2020,Manufacturing/Operations Staff,0.3961
06-04-2020,Marketing/Advertising,0.3391
06-04-2020,Product Management,0.4592
06-04-2020,Retail Staff,0.3309
06-04-2020,Sales,0.2993
06-04-2020,Security,0.453
06-04-2020,Skilled Trades,0.3788
06-04-2020,Supply Chain Staff,0.3695
06-04-2020,Unassigned,0.6551
07-04-2020,Customer Service,0.3497
07-04-2020,Entertainment and Recreation,0.2558
07-04-2020,Facilities/Constr,0.3222
07-04-2020,Finance/Insurance,0.3841
07-04-2020,Food & Beverage,0.2765
07-04-2020,Healthcare,0.3909
07-04-2020,Hospitality Staff,0.189
07-04-2020,Human Resources,0.3641
07-04-2020,IT,0.205
07-04-2020,Manufacturing/Operations Staff,0.3573
07-04-2020,Marketing/Advertising,0.3453
07-04-2020,Product Management,0.4413
07-04-2020,Retail Staff,0.3288
07-04-2020,Sales,0.3029
07-04-2020,Security,0.468
07-04-2020,Skilled Trades,0.3969
07-04-2020,Supply Chain Staff,0.3718
07-04-2020,Unassigned,0.759
08-04-2020,Customer Service,0.3313
08-04-2020,Entertainment and Recreation,0.2539
08-04-2020,Facilities/Constr,0.3191
08-04-2020,Finance/Insurance,0.3766
08-04-2020,Food & Beverage,0.2723
08-04-2020,Healthcare,0.3819
08-04-2020,Hospitality Staff,0.1852
08-04-2020,Human Resources,0.3657
08-04-2020,IT,0.2007
08-04-2020,Manufacturing/Operations Staff,0.3512
08-04-2020,Marketing/Advertising,0.3445
08-04-2020,Product Management,0.4325
08-04-2020,Retail Staff,0.3194
08-04-2020,Sales,0.2974
08-04-2020,Security,0.4558
08-04-2020,Skilled Trades,0.3979
08-04-2020,Supply Chain Staff,0.3513
08-04-2020,Unassigned,0.7376
09-04-2020,Customer Service,0.3148
09-04-2020,Entertainment and Recreation,0.2507
09-04-2020,Facilities/Constr,0.3209
09-04-2020,Finance/Insurance,0.3802
09-04-2020,Food & Beverage,0.2713
09-04-2020,Healthcare,0.3757
09-04-2020,Hospitality Staff,0.1851
09-04-2020,Human Resources,0.3652
09-04-2020,IT,0.1974
09-04-2020,Manufacturing/Operations Staff,0.3462
09-04-2020,Marketing/Advertising,0.3407
09-04-2020,Product Management,0.4339
09-04-2020,Retail Staff,0.3145
09-04-2020,Sales,0.2954
09-04-2020,Security,0.451
09-04-2020,Skilled Trades,0.3975
09-04-2020,Supply Chain Staff,0.3443
09-04-2020,Unassigned,0.7347
10-04-2020,Customer Service,0.2996
10-04-2020,Entertainment and Recreation,0.2539
10-04-2020,Facilities/Constr,0.3217
10-04-2020,Finance/Insurance,0.3801
